step_id,n_atoms,n_mapped,n_broken,n_formed,charge,multiplicity,broken_bonds,formed_bonds
Cyclobutane_JOC2023_updated_TS-CD1-3_step2,46,46,1,1,0,3,1(C)-8(N),8(N)-42(N)
Cyclobutane_JOC2023_updated_TS-CD_step1,46,44,3,1,0,1,0(C)-8(N);1(C)-8(N);8(N)-42(N),44(H)-45(Cl)
Cyclobutane_JOC2023_updated_TS-D1D-3step3D-3,46,44,2,1,0,3,0(C)-8(N);8(N)-42(N),44(H)-45(Cl)
Cyclobutane_JOC2023_updated_TS-D1G-3_step3G,46,46,1,1,0,3,8(N)-42(N),1(C)-42(N)
Jackie_TS_01,33,33,1,2,0,1,4(C)-17(O),4(C)-5(I);15(S)-17(O)
Jackie_TS_02,23,23,2,2,0,1,1(C)-7(N);3(C)-6(N),3(C)-7(N);1(C)-6(N)
Jackie_TS_03,24,24,2,1,0,1,10(C)-13(C);19(C)-21(C),21(C)-10(C)
Jackie_TS_04,61,59,3,4,0,1,0(Pd)-9(C);2(H)-26(O);6(O)-7(H),0(Pd)-6(O);3(B)-26(O);1(O)-28(H);9(C)-25(H)
Jackie_TS_05,35,35,2,2,-1,1,0(C)-19(C);1(O)-2(O),0(C)-2(O);1(O)-19(C)
Jackie_TS_06,77,77,1,2,0,1,15(C)-28(O),2(Ni)-15(C);2(Ni)-28(O)
Jackie_TS_07,53,53,1,1,0,1,5(C)-12(C),12(C)-15(C)
Jackie_TS_08,37,37,2,1,1,1,6(Pt)-8(C);6(Pt)-11(C),8(C)-11(C)
Jackie_TS_09,65,65,1,1,0,1,9(C)-10(C),10(C)-14(N)
Jackie_TS_10,56,56,4,4,0,1,0(C)-1(C);29(C)-37(N);29(C)-38(C);45(C)-49(C),0(C)-37(N);1(C)-43(C);29(C)-45(C);38(C)-49(C)
Jackie_TS_11,38,38,4,5,0,1,1(C)-2(C);4(C)-10(C);9(C)-10(C);12(C)-13(C),4(C)-2(C);12(C)-10(C);9(C)-1(C);1(C)-13(C);13(C)-10(C)
Jackie_TS_12,35,35,2,2,0,1,0(Ti)-10(N);13(C)-14(C),0(Ti)-14(C);10(N)-13(C)
Jackie_TS_13,33,33,2,2,0,1,2(N)-24(C);20(H)-22(O),2(N)-20(H);22(O)-24(C)
Jackie_TS_14,36,36,2,2,0,1,2(N)-22(C);29(O)-35(H),2(N)-35(H);22(C)-29(O)
Jackie_TS_15,57,57,2,1,0,1,0(Si)-11(H);9(O)-10(P),0(Si)-9(O)
Jackie_TS_16,29,29,1,1,1,1,27(O)-28(Br),10(C)-28(Br)
Jackie_TS_17,44,44,1,2,0,1,27(C)-29(H),2(C)-27(C);28(O)-29(H)
Jackie_TS_18,37,37,1,1,0,1,27(C)-30(C),26(C)-30(C)
Jackie_TS_19,51,51,1,1,0,1,2(C)-3(C),3(C)-38(C)
Jackie_TS_20,51,51,2,2,0,1,0(P)-44(O);1(C)-43(C),0(P)-1(C);43(C)-44(O)
pr1.tempo_ts1,26,26,0,0,0,1,,
pr1.tempo_ts10,57,57,2,2,0,1,0(I)-12(O);13(C)-15(H),12(O)-13(C);15(H)-27(N)
pr1.tempo_ts2,29,29,1,2,0,1,22(O)-23(H),22(O)-18(I);21(O)-23(H)
pr1.tempo_ts3,57,57,1,1,0,1,12(H)-49(O),12(H)-14(N)
pr1.tempo_ts4,57,57,2,2,0,1,0(I)-13(O);54(O)-55(H),54(O)-0(I);13(O)-55(H)
pr1.tempo_ts5,43,43,0,0,0,1,,
pr1.tempo_ts6,43,43,2,2,0,1,30(O)-41(I);33(O)-34(H),41(I)-33(O);30(O)-34(H)
pr1.tempo_ts8,65,65,2,2,0,1,11(O)-48(I);14(H)-19(O),48(I)-19(O);11(O)-14(H)
pr1.tempo_ts9,57,57,1,0,0,1,0(I)-28(O),
pr10.carborane_ts1,74,74,1,2,1,1,0(B)-52(C),0(B)-50(C);51(C)-52(C)
pr10.carborane_ts2,74,74,1,0,1,1,49(C)-50(C),
pr10.carborane_ts3,74,74,2,2,1,1,48(C)-49(C);51(C)-52(C),48(C)-51(C);52(C)-49(C)
pr11.cycloadditions_tsIIIa,64,64,1,1,0,1,1(C)-12(C),1(C)-18(N)
